epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0782,1.3682,2.20209,1.16123,0.85196,0.39511,0.58957,0.41639,1.18648,1.94855,1.06178,0.000275022,0.000275022,0.000275022
2,27.0275,1.21512,1.11485,1.07192,0.80233,0.74957,0.78748,0.53786,1.10821,0.94627,1.00914,0.000525331,0.000525331,0.000525331
3,38.8284,1.16298,0.99569,1.05291,0.80308,0.77433,0.80735,0.5712,1.0839,0.86659,1.00758,0.00074815,0.00074815,0.00074815
4,50.2747,1.12701,0.93909,1.03896,0.83858,0.80588,0.82522,0.58336,1.06367,0.81444,0.98546,0.000709299,0.000709299,0.000709299
5,61.6036,1.11173,0.89241,1.03661,0.8305,0.80936,0.82493,0.60048,1.03194,0.78248,0.9829,0.000668066,0.000668066,0.000668066
6,72.824,1.0828,0.85366,1.0235,0.82539,0.81112,0.83025,0.59685,1.01477,0.77805,0.98717,0.000626832,0.000626832,0.000626832
7,84.0972,1.07936,0.82745,1.01965,0.84554,0.83691,0.84142,0.60628,1.00446,0.74369,0.96996,0.000585599,0.000585599,0.000585599
8,95.274,1.05668,0.80417,1.01483,0.85293,0.84409,0.84877,0.61781,0.9885,0.72333,0.97204,0.000544365,0.000544365,0.000544365
9,106.577,1.04201,0.78234,1.00708,0.86349,0.83818,0.8499,0.61825,0.97776,0.70331,0.95867,0.000503132,0.000503132,0.000503132
10,118.147,1.03776,0.7685,1.00246,0.85462,0.84269,0.85487,0.61698,0.98528,0.72031,0.97208,0.000461898,0.000461898,0.000461898
11,131.012,1.02831,0.79486,1.00722,0.84583,0.83985,0.84878,0.61171,0.98752,0.73032,0.97249,0.000420665,0.000420665,0.000420665
12,142.082,1.01338,0.75655,0.99808,0.86283,0.85476,0.858,0.61534,1.02481,0.68441,0.9706,0.000379431,0.000379431,0.000379431
13,153.188,1.00694,0.74042,0.99847,0.86125,0.85636,0.86045,0.6339,0.96509,0.67132,0.95857,0.000338198,0.000338198,0.000338198
14,164.483,0.99126,0.71581,0.98925,0.85958,0.85789,0.8594,0.63179,0.96893,0.67752,0.96047,0.000296964,0.000296964,0.000296964
15,175.254,0.98613,0.70852,0.98681,0.85377,0.87089,0.86272,0.64005,0.95629,0.65123,0.9547,0.000255731,0.000255731,0.000255731
16,186.144,0.97596,0.69142,0.98532,0.87643,0.86051,0.86583,0.63997,0.96081,0.64924,0.95949,0.000214497,0.000214497,0.000214497
17,197.27,0.96708,0.68085,0.97935,0.86615,0.85898,0.86467,0.64118,0.93992,0.64963,0.94734,0.000173264,0.000173264,0.000173264
18,208.389,0.95814,0.66842,0.97306,0.8822,0.86817,0.87042,0.64719,0.95466,0.63339,0.94738,0.000132031,0.000132031,0.000132031
19,219.314,0.94631,0.65312,0.96935,0.87158,0.872,0.87281,0.65085,0.94535,0.62642,0.94471,9.0797e-05,9.0797e-05,9.0797e-05
20,230.467,0.94335,0.64672,0.96924,0.87224,0.86946,0.87118,0.65526,0.93473,0.61964,0.94365,4.95635e-05,4.95635e-05,4.95635e-05
